Date,Product,Sales
2023-01-01,Shampoo,155
2023-01-02,Shampoo,148
2023-01-03,Shampoo,162
2023-01-04,Shampoo,153
2023-01-05,Shampoo,170
2023-01-06,Shampoo,145
2023-01-07,Shampoo,166
2023-01-08,Shampoo,158
2023-01-09,Shampoo,175
2023-01-10,Shampoo,140
2023-01-01,Soap,310
2023-01-02,Soap,295
2023-01-03,Soap,325
2023-01-04,Soap,305
2023-01-05,Soap,330
2023-01-06,Soap,290
2023-01-07,Soap,340
2023-01-08,Soap,315
2023-01-09,Soap,335
2023-01-10,Soap,280
2023-01-01,Toothpaste,210
2023-01-02,Toothpaste,195
2023-01-03,Toothpaste,225
2023-01-04,Toothpaste,205
2023-01-05,Toothpaste,230
2023-01-06,Toothpaste,190
2023-01-07,Toothpaste,240
2023-01-08,Toothpaste,215
2023-01-09,Toothpaste,235
2023-01-10,Toothpaste,180
